label,n1,n2,M1,SD1,M2,SD2,t,p,tail,sig
Accuracy (Before Boundary): NB vs AB,87,79,0.858045977011494,0.09671149952618932,0.8215189873417721,0.10460044378484737,2.328857196519047,0.010562116868990582,one-tailed (greater),*
Accuracy (Event Middle): NB vs AB,87,79,0.8827586206896552,0.07954360593150783,0.8537974683544303,0.09260204070227906,2.1510479669378753,0.033026022689272086,two-tailed,*
