Condition,Correctness,count,mean,std,median,mode,IQR,Q25,Q75,min,max
Abrupt Cut (AB),Correct Response,79.0,4.203893093605228,0.4300300870804044,4.205882352941177,3.870967741935484,0.7106869161876999,3.8660394265232974,4.576726342710997,2.972972972972973,4.909090909090909
Abrupt Cut (AB),Incorrect Response,79.0,3.361581652813969,0.7870945228463492,3.2857142857142856,3.0,1.1944444444444446,2.8055555555555554,4.0,1.5,5.0
Natural Cut (NB),Correct Response,87.0,4.313601533096033,0.38946419365159707,4.388888888888889,4.5,0.5507746639325592,4.0548872180451125,4.605661881977672,3.206896551724138,5.0
Natural Cut (NB),Incorrect Response,86.0,3.3563042254902724,0.8737682337152929,3.5,3.0,1.2000000000000002,2.8,4.0,1.0,5.0
