label,n1,n2,M1,SD1,M2,SD2,t,p,tail,sig
Accuracy: Male vs Female,103,45,0.8487864077669904,0.07760023884204159,0.8749999999999999,0.07385489458759964,-1.955605716869005,0.053689236778311826,two-tailed,ns
Accuracy: Right-Handed vs Left-Handed,140,8,0.8594642857142857,0.07445653560118635,0.809375,0.1109516464823432,1.260778503269623,0.24586134400488707,two-tailed,ns
